0/0	12:19:39
1/1	12:24:39
1/1	12:29:39
1/1	12:34:39
1/1	12:39:39
1/1	12:44:39
0/1	12:49:39
1/1	12:54:39
1/1	12:59:39
1/1	13:04:10
1/1	13:09:10
0/1	13:14:10
1/1	13:19:10
1/1	13:24:10
1/1	13:29:10
0/1	13:34:10
0/0	13:39:09
0/0	13:44:09
0/0	13:49:09
0/0	13:54:09
0/0	13:59:09
0/0	14:04:09
0/0	14:09:09
0/0	14:14:09
0/0	14:19:08
0/0	14:24:08
0/0	14:29:08
0/0	14:34:08
1/1	14:39:08
1/1	14:44:08
1/1	14:49:08
1/1	14:54:07
1/1	14:59:07
1/1	15:04:07
1/1	15:09:07
1/1	15:14:07
1/1	15:19:07
1/1	15:24:07
1/1	15:29:07
1/1	15:34:06
1/1	15:39:06
1/1	15:44:06
1/1	15:49:06
1/1	15:54:06
1/1	15:59:06
1/1	16:04:06
1/1	16:09:06
1/1	16:14:05
1/1	16:19:05
1/1	16:24:05
1/1	16:29:05
1/1	16:34:05
1/1	16:39:05
1/1	16:48:16
1/1	16:53:16
1/1	16:58:15
1/1	17:03:15
1/1	17:08:15
1/1	17:13:15
1/1	17:18:15
0/1	17:23:15
0/0	17:28:15
0/0	17:33:14
0/0	17:38:14
0/0	17:43:14
0/0	17:48:14
0/0	17:53:14
0/0	17:58:14
0/0	18:03:14
0/0	18:08:14
0/0	18:13:13
0/0	18:18:13
0/0	18:23:13
1/1	18:28:13
1/1	18:33:13
1/1	18:38:13
1/1	18:43:13
1/1	18:48:13
1/1	18:53:12
1/1	18:58:12
1/1	19:03:12
1/1	19:08:12
1/1	19:13:12
1/1	19:18:12
1/1	19:23:12
1/1	19:28:11
1/1	19:33:11
1/1	19:41:17
1/1	19:46:17
1/1	19:51:16
1/1	19:56:16
1/1	20:01:16
1/1	20:06:16
0/1	20:11:16
0/0	20:16:16
0/0	20:21:16
0/0	20:26:16
0/0	20:31:15
0/0	20:36:15
0/0	20:41:15
0/0	20:46:15
0/0	20:51:15
0/0	20:56:15
0/0	21:01:15
0/0	21:06:15
0/0	21:11:14
0/0	21:16:14
0/0	21:21:14
0/0	21:26:14
0/0	21:31:14
0/0	21:36:14
0/0	21:41:14
0/0	21:46:13
0/0	21:51:13
0/0	21:56:13
0/0	22:01:13
0/0	22:06:13
0/0	22:11:13
0/0	22:16:13
0/0	22:21:13
0/0	22:26:12
0/0	22:31:12
0/0	22:36:12
0/0	22:41:12
0/0	22:46:12
0/0	22:51:12
0/0	22:56:12
0/0	23:01:12
0/0	23:06:11
0/0	23:11:11
0/0	23:16:11
0/0	23:21:11
0/0	23:26:11
0/0	23:31:11
0/0	23:36:11
0/0	23:41:10
0/0	23:46:10
0/0	23:51:10
0/0	23:56:10
