1	123.55.203.67	859181	µ­µ­	513	2015-09-20 21:41:42	2015-09-20 21:50:15	5
1	119.191.143.175	25532894	ÄÇ¶ùÅÜ	1333	2015-09-20 21:29:35	2015-09-20 21:51:48	5
1	175.174.96.85	8516123	ÄÝÄÝ	1127	2015-09-20 21:33:21	2015-09-20 21:52:08	5
1	123.55.203.67	826701	µ°µ°	216	2015-09-20 21:49:30	2015-09-20 21:53:07	5
1	123.55.203.67	8267001	Ö÷Ô×	377	2015-09-20 21:47:38	2015-09-20 21:53:56	5
1	175.174.96.85	3670796	µÜµÜ	1444	2015-09-20 21:30:22	2015-09-20 21:54:27	5
1	123.55.203.67	8591881	°×Ð¡·É	5829	2015-09-20 19:48:29	2015-09-20 21:55:34	5
1	221.9.23.219	0517	¸ô±ÚÀÏÍõ	2150	2015-09-20 21:22:56	2015-09-20 21:58:46	5
1	175.174.96.85	8516123	¸Õ×Ó	398	2015-09-20 21:52:15	2015-09-20 21:58:53	5
1	101.69.179.132	mwwwwwwwww	ÇàÉÀË®Ä«	5494	2015-09-20 19:58:15	2015-09-20 21:59:45	5
