1	175.174.96.85	mwwwwwwwww	青衫水墨	5399	2015-09-20 22:00:17	2015-09-20 23:30:17	5
1	222.88.91.2	weiwei4415	冰与火之歌	12720	2015-09-20 19:29:33	2015-09-20 23:31:29	5
1	183.131.105.248	q123	脚后跟	911	2015-09-20 23:16:22	2015-09-20 23:31:33	5
1	175.174.96.85	mwwwwwwwww	青衫水墨	117	2015-09-20 23:30:23	2015-09-20 23:32:20	5
1	221.216.119.144	guojin	小郭	19	2015-09-20 23:33:42	2015-09-20 23:34:02	5
1	27.16.139.188	67327102	更让人	1032	2015-09-20 23:17:38	2015-09-20 23:34:50	5
1	175.174.96.85	mwwwwwwwww	青衫水墨	167	2015-09-20 23:32:25	2015-09-20 23:35:12	5
1	101.69.179.132	caopeng000	小迷糊	2276	2015-09-20 22:58:33	2015-09-20 23:36:30	5
1	27.16.139.188	67327101	发动机了撒	10867	2015-09-20 20:05:35	2015-09-20 23:36:38	5
1	27.16.139.188	67327101	发动机了撒	73	2015-09-20 23:37:14	2015-09-20 23:38:28	5
1	114.103.248.77	46275171	上官震雄	10838	2015-09-20 20:08:24	2015-09-20 23:38:58	5
1	123.55.203.67	8267001	主宰	2612	2015-09-20 22:55:37	2015-09-20 23:39:09	5
1	183.166.20.134	444	小仓库	37	2015-09-20 23:38:41	2015-09-20 23:39:19	5
1	1.48.54.204	zh110	坏脾气	5375	2015-09-20 22:10:22	2015-09-20 23:39:58	5
