1	0	0	11	H001	15	121	酷游戏站长测试	刺杀剑术	6642885	1	0	2017-11-21 16:58:38
1	0	0	15	H001	14	114	蜈蚣0	重盔甲(男)	6694546	0	0	2017-11-21 16:58:56
1	0	0	15	H001	14	114	蜈蚣0	凌风	6694545	0	0	2017-11-21 16:58:56
1	0	0	15	H001	14	114	蜈蚣0	斩马刀	6694544	0	0	2017-11-21 16:58:56
1	0	0	4	H001	9	108	酷游戏站长测试	金币	340	1	0	2017-11-21 16:59:08
1	0	0	11	H001	20	97	酷游戏站长测试	疗伤药	6694490	1	0	2017-11-21 16:59:26
1	0	0	11	H001	20	97	酷游戏站长测试	疗伤药	6694501	1	0	2017-11-21 16:59:26
1	0	0	15	H001	21	97	黑色恶蛆0	太阳水	6694547	0	0	2017-11-21 16:59:32
1	0	0	11	H001	19	89	酷游戏站长测试	疗伤药	6694494	1	0	2017-11-21 16:59:47
1	0	0	9	H001	19	89	酷游戏站长测试	金币	50000	1	QFunction	2017-11-21 16:59:50
